6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.4999999999999998e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
2.3000000000000001e-01,0.0000000000000000e+00
5.3000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.6999999999999995e-01,1.0000000000000000e+00
5.8999999999999997e-01,1.0000000000000000e+00
8.4999999999999998e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.1999999999999997e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.8999999999999997e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
9.5999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.1999999999999997e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
7.5000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.4999999999999998e-01,0.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.5000000000000000e-01,1.0000000000000000e+00
5.2000000000000002e-01,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
8.1000000000000005e-01,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
4.4000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
5.6000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
7.1999999999999997e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
2.9999999999999999e-01,0.0000000000000000e+00
7.5000000000000000e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
4.8999999999999999e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
3.4999999999999998e-01,0.0000000000000000e+00
5.0000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
3.8000000000000000e-01,0.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.9000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
2.9000000000000001e-02,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
3.8000000000000000e-01,0.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
5.3000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.6999999999999995e-01,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
4.8999999999999999e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.1999999999999997e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.8999999999999997e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.8000000000000000e-01,0.0000000000000000e+00
8.0000000000000004e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
8.9000000000000001e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.4999999999999998e-01,0.0000000000000000e+00
4.0999999999999998e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.7000000000000002e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
2.5000000000000000e-01,0.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
5.5000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.6999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
7.6000000000000001e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.4000000000000002e-02,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
7.9000000000000004e-01,1.0000000000000000e+00
5.8999999999999997e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
3.9000000000000001e-01,0.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.1999999999999997e-01,1.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.6999999999999995e-01,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.8000000000000003e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
3.4999999999999998e-01,0.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
5.6000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.8000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
4.7999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
2.8000000000000003e-01,0.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
3.3000000000000002e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
4.6000000000000002e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
8.2999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.3000000000000000e-01,1.0000000000000000e+00
7.3999999999999999e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
5.0000000000000003e-02,0.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
8.1000000000000005e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
4.1999999999999998e-01,0.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.9000000000000004e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.3000000000000003e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
6.3000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
4.4000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.8000000000000003e-01,1.0000000000000000e+00
2.9000000000000001e-02,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.6000000000000001e-01,1.0000000000000000e+00
4.2000000000000003e-02,0.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
7.8000000000000003e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.9000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.7999999999999999e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
2.2000000000000000e-01,0.0000000000000000e+00
8.1999999999999995e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
8.0000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
2.7000000000000002e-01,0.0000000000000000e+00
5.1000000000000001e-01,1.0000000000000000e+00
7.2999999999999998e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
8.1999999999999995e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
2.2000000000000000e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.5000000000000004e-01,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
7.5000000000000000e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
8.0000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
7.7000000000000002e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.4000000000000001e-01,0.0000000000000000e+00
5.6000000000000005e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
3.7000000000000000e-01,0.0000000000000000e+00
3.5999999999999999e-01,0.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
7.1999999999999997e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
6.3000000000000000e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.8999999999999997e-01,1.0000000000000000e+00
7.8000000000000003e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
4.0999999999999998e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.6000000000000001e-01,1.0000000000000000e+00
5.5000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
7.6000000000000001e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
1.7000000000000001e-01,0.0000000000000000e+00
7.0999999999999996e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
6.9999999999999996e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
2.9999999999999999e-01,0.0000000000000000e+00
5.0000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
8.1999999999999995e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
6.8000000000000005e-01,1.0000000000000000e+00
5.7999999999999996e-01,1.0000000000000000e+00
6.4000000000000001e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
7.7000000000000002e-01,1.0000000000000000e+00
8.1999999999999995e-01,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.9000000000000001e-01,0.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
1.4999999999999999e-01,0.0000000000000000e+00
3.5999999999999999e-01,0.0000000000000000e+00
7.5000000000000000e-01,1.0000000000000000e+00
6.0999999999999999e-01,1.0000000000000000e+00
6.6000000000000003e-01,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
5.6999999999999995e-01,1.0000000000000000e+00
7.5000000000000000e-01,1.0000000000000000e+00
6.5000000000000002e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.8999999999999995e-01,1.0000000000000000e+00
6.2000000000000000e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
6.7000000000000004e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
3.3000000000000002e-01,0.0000000000000000e+00
5.9999999999999998e-01,1.0000000000000000e+00
1.0000000000000000e+00,1.0000000000000000e+00
